site,latitude,longitude
agulhas,-36.0,22.0
andaman_sea,11.0,94.0
arabian_sea_central,15.0,65.0
arabian_sea_north,21.0,66.0
bay_of_bengal_central,15.0,88.0
bay_of_bengal_north,19.0,89.0
benguela_upwelling,-25.0,12.0
canary_upwelling,24.0,-18.0
coral_sea,-18.0,152.0
equatorial_atlantic,0.0,-25.0
equatorial_indian,0.0,80.0
equatorial_pacific,0.0,-140.0
gulf_of_mannar,8.5,78.5
gulf_stream,36.0,-70.0
kerala_upwelling,9.5,75.0
kuroshio,33.0,140.0
lakshadweep,11.0,72.0
north_pacific_gyre,30.0,-150.0
north_sea,56.0,3.0
peru_upwelling,-12.0,-78.0
sargasso_sea,28.0,-60.0
somali_current,6.0,52.0
south_pacific_gyre,-30.0,-120.0
southern_ocean_indian,-45.0,75.0
